fertilizer_input_id,result_id,result_id_parent,fertilizer_input_uid,entity_system_id,fertilizer_type,n_ammonium,n_nitrate,n_urea,n_total,p_content,uom_p,k_content,uom_k,total_ingredients,application_rate,uom_application_rate,fertilizer_unit,application_method,manufactured_in,fa_name,country,business_name,date_created,date_synched,data_versioning,last_modified_by,last_updated,entity_id
11,1470002575936770708,1470002575936769350,DRSVjnawb5V,L-10004-75-10-0617-1447,Compose your own NPK,0.0,17.0,0.0,17.0,5.0,p2o5,20.0,K2O,42.0,400.0,kg / ha,product,Broadcast,S Asia 2014,HAI LE,Vietnam,Nescafe,2024-07-09 11:53:17,2024-07-09 11:53:17,,HAI LE,2024-11-29 06:26:32,312
12,1470002575937356408,1470002575937354470,AFZo0pl5Ppm,L-10004-75-10-0617-1527,Compose your own NPK,0.0,20.0,0.0,20.0,5.0,p2o5,6.0,K2O,31.0,203.0,kg / ha,product,Broadcast,S Asia 2014,HAI LE,Vietnam,Nescafe,2024-07-10 01:01:28,2024-10-18 03:30:06,4.0,HAI LE,2024-11-29 06:20:07,95
13,1470002575937356177,1470002575937354470,U6IrE6ObgrI,L-10004-75-10-0617-1527,Compose your own NPK,0.0,17.0,0.0,17.0,7.0,p2o5,17.0,K2O,41.0,254.0,kg / ha,product,Broadcast,S Asia 2014,HAI LE,Vietnam,Nescafe,2024-07-10 01:01:28,2024-10-18 03:30:06,4.0,HAI LE,2024-11-29 06:20:07,95
14,1470002575937355945,1470002575937354470,F755wiQgY66,L-10004-75-10-0617-1527,Cattle manure - 0.6% N,,,,,,,,,,2700.0,kg / ha,product,Broadcast,,HAI LE,Vietnam,Nescafe,2024-07-10 01:01:27,2024-10-18 03:30:05,4.0,HAI LE,2024-11-29 06:20:07,95
15,1470002575939921707,1470002575939920686,IzBWPU9LwRH,L-10004-75-10-0617-1549,Broiler/Turkey litter - 3% N,,,,,,,,,,25000.0,kg / ha,product,Broadcast,,HAI LE,Vietnam,Nescafe,2024-07-12 00:25:50,2024-10-18 06:57:38,2.0,HAI LE,2024-11-29 06:20:40,218
16,1470002575939921106,1470002575939920686,L9SQlhriHaH,L-10004-75-10-0617-1549,Compose your own NPK,0.0,20.0,0.0,20.0,5.0,p2o5,5.0,K2O,30.0,300.0,kg / ha,product,Apply in solution,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-07-12 00:25:48,2024-10-18 06:57:14,2.0,HAI LE,2024-11-29 06:20:40,218
17,1470002575934458347,1470002575934457006,W3FeASxitro,L-10004-75-10-0617-1894,Compose your own NPK,0.0,17.0,0.0,17.0,7.0,p2o5,17.0,K2O,41.0,625.0,kg / ha,product,Broadcast,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-07-07 20:43:11,2024-10-18 12:31:44,1.0,HAI LE,2024-11-29 06:25:36,175
18,1470002575934457373,1470002575934457006,uR0EjwOAYkv,L-10004-75-10-0617-1894,Compose your own NPK,0.0,20.0,0.0,20.0,5.0,p2o5,5.0,K2O,30.0,625.0,kg / ha,product,Apply in solution,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-07-07 20:43:09,2024-07-07 20:43:09,,HAI LE,2024-11-29 06:25:36,175
19,1470002575938183146,1470002575938180552,NMr0s3ZQPtb,L-10004-75-10-0617-2225,Compose your own NPK,0.0,17.0,0.0,17.0,17.0,p2o5,8.0,K2O,42.0,700.0,kg / ha,product,Broadcast,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-07-10 15:32:17,2024-07-10 15:32:37,,HAI LE,2024-11-29 06:11:23,35
20,1470002575938116996,1470002575938116158,UG4wis8Yll0,L-10004-75-10-0617-4267,Compost (fully aerated production) - 1% N,,,,,,,,,,11217.0,kg / ha,product,Broadcast,World,HAI LE,Vietnam,Nescafe,2024-07-10 14:36:25,2024-10-18 08:31:53,1.0,HAI LE,2024-11-29 06:21:09,185
21,1470002575938116386,1470002575938116158,pSh6eRRfvlY,L-10004-75-10-0617-4267,Compose your own NPK,0.0,20.0,0.0,20.0,5.0,p2o5,5.0,K2O,30.0,448.0,kg / ha,product,Apply in solution,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-07-10 14:36:24,2024-10-18 08:31:52,1.0,HAI LE,2024-11-29 06:21:09,185
22,1470157558590836879,1470157558590836037,A7oUCCZ7pKN,CA0524096,Compose your own NPK,16.0,0.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,107.0,kg / ha,product,Broadcast,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-11-19 14:12:41,2024-11-21 02:48:52,,HAI LE,2025-01-09 08:38:16,163
23,1470157558590836502,1470157558590836037,BQcE4zSmszu,CA0524096,Compose your own NPK,16.0,0.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,395.0,kg / ha,product,Broadcast,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-11-19 14:12:26,2024-11-21 02:48:37,,HAI LE,2025-01-09 08:38:16,163
24,1470157558593272342,1470157558593271884,rSebzZp44mj,CA0622036,Compose your own NPK,20.0,0.0,0.0,20.0,18.0,p2o5,7.0,K2O,45.0,364.0,kg / ha,product,Broadcast,Europe 2014,HAI LE,Vietnam,Nescafe,2024-11-21 02:26:14,2024-12-03 02:32:51,0.2,HAI LE,2025-01-09 08:40:26,246
25,1470157558593272572,1470157558593271884,ucS396mruJA,CA0622036,Compose your own NPK,15.0,0.0,0.0,15.0,5.0,p2o5,19.0,K2O,39.0,364.0,kg / ha,product,Broadcast,Europe 2014,HAI LE,Vietnam,Nescafe,2024-11-21 02:26:14,2024-12-03 02:32:52,0.2,HAI LE,2025-01-09 08:40:26,246
26,1470157558591789158,1470157558589153531,VQy8juemZru,DL0322031,Compose your own NPK,0.0,0.0,0.0,0.0,15.0,p2o5,0.0,K2O,15.0,833.0,kg / ha,P2O5,Apply in solution,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-11-19 23:24:09,2024-11-21 01:59:28,,HAI LE,2025-01-09 08:40:35,290
27,1470157558591789838,1470157558589153531,aGeZ1KqNgjT,DL0322031,Pig manure - 0.7% N,,,,,,,,,,12500.0,kg / ha,product,Broadcast,,HAI LE,Vietnam,Nescafe,2024-11-19 23:24:11,2024-11-19 23:37:54,,HAI LE,2025-01-09 08:40:35,290
28,1470157558591790068,1470157558589153531,M2v7OJZPEZJ,DL0322031,Compose your own NPK,17.0,0.0,0.0,17.0,5.0,p2o5,20.0,K2O,42.0,833.0,kg / ha,product,Broadcast,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-11-19 23:24:11,2024-11-19 23:38:02,,HAI LE,2025-01-09 08:40:35,290
29,1470157558593320772,1470157558593320298,EqTN1PUObfN,CA0222103,Compose your own NPK,16.0,0.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,375.0,kg / ha,product,Broadcast,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-11-21 03:20:22,2024-12-03 03:20:45,0.0,HAI LE,2025-01-09 08:39:42,222
30,1470157558593321002,1470157558593320298,mjVzCihTp3u,CA0222103,Compose your own NPK,16.0,0.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,375.0,kg / ha,product,Broadcast,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-11-21 03:20:23,2024-11-21 03:20:23,,HAI LE,2025-01-09 08:39:42,222
31,1470157558593321149,1470157558593320298,o1ObiPDG3Nq,CA0222103,Broiler/Turkey litter - 3% N,,,,,,,,,,1250.0,kg / ha,product,Broadcast,,HAI LE,Vietnam,Nescafe,2024-11-21 03:20:23,2024-11-21 03:20:23,,HAI LE,2025-01-09 08:39:42,222
32,1470157558593321379,1470157558593320298,xP0ishQX8R1,CA0222103,Compose your own NPK,20.0,0.0,0.0,20.0,15.0,p2o5,5.0,K2O,40.0,313.0,kg / ha,product,Broadcast,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-11-21 03:20:23,2024-12-03 03:20:45,0.0,HAI LE,2025-01-09 08:39:42,222
33,1470157558593499579,1470157558593498348,ajts3ph8P1y,CA0423133,Compose your own NPK,20.0,0.0,0.0,20.0,10.0,p2o5,20.0,K2O,50.0,511.0,kg / ha,product,Broadcast,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-11-21 05:41:13,2024-12-03 03:23:02,0.3,HAI LE,2025-01-09 08:39:59,305
34,1470157558593499349,1470157558593498348,zRVI7b9LsK2,CA0423133,Compose your own NPK,17.0,0.0,0.0,17.0,7.0,p2o5,17.0,K2O,41.0,553.0,kg / ha,product,Apply in solution,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-11-21 05:41:13,2024-12-03 03:23:10,0.3,HAI LE,2025-01-09 08:39:59,305
35,1470157558593498885,1470157558593498348,x7lQHmVfWKU,CA0423133,Compose your own NPK,0.0,0.0,0.0,0.0,15.0,p2o5,0.0,K2O,15.0,1064.0,kg / ha,product,Apply in solution,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-11-21 05:41:12,2024-12-03 03:22:53,0.3,HAI LE,2025-01-09 08:39:59,305
36,1470157558593245336,1470157558590494760,YbpibjZYKTT,CA0522021,Compose your own NPK,20.0,0.0,0.0,20.0,10.0,p2o5,6.0,K2O,36.0,471.0,kg / ha,product,Broadcast,Europe 2014,HAI LE,Vietnam,Nescafe,2024-11-21 01:33:10,2024-12-03 02:29:32,0.1,HAI LE,2025-01-09 08:38:55,199
37,1470157558593245106,1470157558590494760,xu4TYqc5zVx,CA0522021,Compose your own NPK,18.0,0.0,0.0,18.0,6.0,p2o5,18.0,K2O,42.0,471.0,kg / ha,product,Broadcast,Europe 2014,HAI LE,Vietnam,Nescafe,2024-11-21 01:33:02,2024-12-03 02:29:31,0.1,HAI LE,2025-01-09 08:38:55,199
38,1470157558593243258,1470157558590494760,kRaL291VVOL,CA0522021,Poultry layer digestate - 1.9% N,,,,,,,,,,5882.0,kg / ha,product,Apply in solution,,HAI LE,Vietnam,Nescafe,2024-11-21 01:32:20,2024-12-03 02:29:29,0.1,HAI LE,2025-01-09 08:38:55,199
39,1470157558594624530,1470157558593443444,x0l4eXanoLo,CA1023113,Broiler/Turkey litter - 3% N,,,,,,,,,,1356.0,kg / ha,product,Broadcast,,HAI LE,Vietnam,Nescafe,2024-11-22 01:24:54,2024-12-03 05:40:06,0.2,HAI LE,2025-01-09 08:37:50,140
40,1470157558594624383,1470157558593443444,DTCa3u9YmLQ,CA1023113,Compost (zero emissions) - 1% N,,,,,,,,,,20.0,kg / ha,product,Fertigation-subsurface drip,,HAI LE,Vietnam,Nescafe,2024-11-22 01:24:54,2024-12-03 05:40:05,0.2,HAI LE,2025-01-09 08:37:50,140
41,1470157558594624089,1470157558593443444,KptbKjjLL2X,CA1023113,Compose your own NPK,0.0,0.0,0.0,0.0,15.0,p2o5,0.0,K2O,15.0,678.0,kg / ha,product,Broadcast,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-11-22 01:24:53,2024-12-03 05:40:04,0.2,HAI LE,2025-01-09 08:37:50,140
42,1470157558594623859,1470157558593443444,dAK1eefipvG,CA1023113,Poultry layer digestate - 1.9% N,,,,,,,,,,11864.0,kg / ha,product,Broadcast,,HAI LE,Vietnam,Nescafe,2024-11-22 01:24:53,2024-12-03 05:40:05,0.2,HAI LE,2025-01-09 08:37:50,140
43,1470157558594437640,1470157558594436608,vNNgPDpLEG4,CA0422052,Compose your own NPK,0.0,0.0,0.0,0.0,15.0,p2o5,0.0,K2O,15.0,1200.0,kg / ha,product,Broadcast,SE Asia 2014,TIEN PHAM,Vietnam,Nescafe,2024-11-21 22:43:03,2024-12-03 05:12:13,0.1,TIEN PHAM,2025-01-09 08:38:07,127
44,1470157558594437509,1470157558594436608,etFxw8u4BHW,CA0422052,Compose your own NPK,0.0,0.0,16.0,16.0,8.0,p2o5,16.0,K2O,40.0,1100.0,kg / ha,product,Broadcast,SE Asia 2014,TIEN PHAM,Vietnam,Nescafe,2024-11-21 22:43:03,2024-12-03 05:12:04,0.1,TIEN PHAM,2025-01-09 08:38:07,127
