location_id,raw_location,latitude,longitude
1,,,
3,POINT(12.71369 107.93773),12.71369,107.93773
6,POINT(12.67784 108.00117),12.67784,108.00117
7,POINT(14.01501836256498 107.95777752074223),14.01501836256498,107.95777752074223
8,POINT(13.99738399397431 107.87258486829136),13.99738399397431,107.87258486829136
9,POINT(14.07241662965535 107.87291712137672),14.07241662965535,107.87291712137672
10,POINT(12.60806 108.101921),12.60806,108.101921
11,POINT(12.5807793 108.106167),12.5807793,108.106167
13,POINT(11.62136504613227 108.11116328836529),11.62136504613227,108.11116328836529
14,POINT(11.49246510320314 108.03857601024851),11.49246510320314,108.03857601024851
15,POINT(11.74030017 107.9639968),11.74030017,107.9639968
16,POINT(12.78100997676401 107.94789467016975),12.78100997676401,107.94789467016975
18,POINT(12.6774782 108.0009309),12.6774782,108.0009309
20,POINT(13.89308053070051 108.07181163701048),13.89308053070051,108.07181163701048
22,POINT(12.72172 108.032852),12.72172,108.032852
23,POINT(13.92517912026087 107.79699889258960),13.92517912026087,107.79699889258960
24,POINT(13.92190074083761 107.99886351461336),13.92190074083761,107.99886351461336
25,POINT(14.01920910460256 107.91087658154584),14.01920910460256,107.91087658154584
26,POINT(11.65652 108.059021),11.65652,108.059021
27,POINT(11.86190420297148 108.34403238269346),11.86190420297148,108.34403238269346
28,POINT(11.94725764867927 107.61462782406571),11.94725764867927,107.61462782406571
29,POINT(11.56784 108.0276),11.56784,108.0276
30,POINT(11.65206946177046 108.06035311918137),11.65206946177046,108.06035311918137
31,POINT(13.83504 107.86248),13.83504,107.86248
32,POINT(12.7317264 108.0066162),12.7317264,108.0066162
33,POINT(12.72152 108.0206),12.72152,108.0206
34,POINT(12.004764 107.601311),12.004764,107.601311
35,POINT(13.74732920901267 107.90169839757299),13.74732920901267,107.90169839757299
36,POINT(11.5634617 108.0782313),11.5634617,108.0782313
37,POINT(13.86586386246035 107.92401655587175),13.86586386246035,107.92401655587175
38,POINT(11.526178 108.064697),11.526178,108.064697
39,POINT(11.64 108.09),11.64,108.09
40,POINT(11.6175544 107.9981427),11.6175544,107.9981427
41,POINT(11.65216 108.005463),11.65216,108.005463
42,POINT(11.64253 108.088158),11.64253,108.088158
43,POINT(12.08215264336387 107.49684590513502),12.08215264336387,107.49684590513502
44,POINT(11.9679 107.616203),11.9679,107.616203
45,POINT(11.64608 108.125542),11.64608,108.125542
46,POINT(14.10583733116596 107.89620850245274),14.10583733116596,107.89620850245274
47,POINT(13.8093746 108.0493702),13.8093746,108.0493702
48,POINT(12.59988 108.0832),12.59988,108.0832
49,POINT(11.70945 107.99898),11.70945,107.99898
50,POINT(12.58744 108.065788),12.58744,108.065788
51,POINT(12.71281 108.0353),12.71281,108.0353
52,POINT(12.71905 108.044807),12.71905,108.044807
55,POINT(12.71196 108.020523),12.71196,108.020523
56,POINT(13.98470852059683 107.86405979665729),13.98470852059683,107.86405979665729
57,POINT(13.9734382 107.8901641),13.9734382,107.8901641
59,POINT(11.51052656584535 108.05702579217778),11.51052656584535,108.05702579217778
60,POINT(11.92826783751317 108.18559454764070),11.92826783751317,108.18559454764070
61,POINT(11.79758231622334 108.32813685769990),11.79758231622334,108.32813685769990
62,POINT(13.80649 108.05455),13.80649,108.05455
63,POINT(11.9509054 107.6437789),11.9509054,107.6437789
64,POINT(11.93549488206574 108.24525659913965),11.93549488206574,108.24525659913965
65,POINT(11.682299 108.072538),11.682299,108.072538
66,POINT(11.53113 108.03475),11.53113,108.03475
67,POINT(11.90023364034658 108.17198166633786),11.90023364034658,108.17198166633786
68,POINT(12.69813789831738 108.05106077509417),12.69813789831738,108.05106077509417
69,POINT(11.5715 108.0465),11.5715,108.0465
70,POINT(11.6222216 107.9901282),11.6222216,107.9901282
71,POINT(11.90315779299624 107.52785118306757),11.90315779299624,107.52785118306757
72,POINT(12.07275315654657 107.54122308465423),12.07275315654657,107.54122308465423
73,POINT(14.01126435959154 107.94614654044429),14.01126435959154,107.94614654044429
74,POINT(11.66457019222036 107.99135352726283),11.66457019222036,107.99135352726283
75,POINT(14.09206075129418 107.90357150147473),14.09206075129418,107.90357150147473
76,POINT(13.83579039016164 107.85761620859415),13.83579039016164,107.85761620859415
77,POINT(13.88144 107.972954),13.88144,107.972954
78,POINT(11.59334 108.109421),11.59334,108.109421
79,POINT(11.524145 108.07386),11.524145,108.07386
80,POINT(12.81579 107.926567),12.81579,107.926567
81,POINT(11.9441847 107.6371351),11.9441847,107.6371351
82,POINT(14.07387524844527 107.90997569459296),14.07387524844527,107.90997569459296
83,POINT(11.9805 107.7163),11.9805,107.7163
84,POINT(13.87468 107.967369),13.87468,107.967369
85,POINT(11.9541 107.6966),11.9541,107.6966
86,POINT(14.03132933658862 107.90777712139106),14.03132933658862,107.90777712139106
87,POINT(11.899101 108.183174),11.899101,108.183174
88,POINT(11.67258 108.002968),11.67258,108.002968
89,POINT(11.56867 108.0695),11.56867,108.0695
90,POINT(11.95716823210938 107.61232634846434),11.95716823210938,107.61232634846434
91,POINT(13.82046789397841 107.86809836524340),13.82046789397841,107.86809836524340
92,POINT(14.04530410656151 108.14421158294020),14.04530410656151,108.14421158294020
93,POINT(14.07199590002566 107.87452267492922),14.07199590002566,107.87452267492922
94,POINT(11.97656841317666 107.71288146991851),11.97656841317666,107.71288146991851
95,POINT(13.86719024794385 107.89377529581061),13.86719024794385,107.89377529581061
96,POINT(11.68694 108.033081),11.68694,108.033081
97,POINT(11.64535 108.021538),11.64535,108.021538
98,POINT(12.8218243 108.0313204),12.8218243,108.0313204
