base_column,original_column,kept
Farmer and household information (M&E step 3),Farmer and household information (M&E step 3).1,True
Existing people,Existing people,True
Pick People,Pick People,True
Do you want to update existing people information?,Do you want to update existing people information?,True
Do you want to autofill the field with existing people information?,Do you want to autofill the field with existing people information?,True
First Name,First Name,False
First Name,First Name (Update),True
First Name,First Name.1,False
Last Name,Last Name,False
Last Name,Last Name (Update),True
Last Name,Last Name.1,False
Gender,Gender,False
Gender,Gender (Update),True
Gender,Gender.1,False
Gender,Gender.2,False
Identification ID Type,Identification ID Type,False
Identification ID Type,Identification ID Type (Update),True
Identification ID Type,Identification ID Type.1,False
Identification ID,Identification ID,False
Identification ID,Identification ID (Update),True
Identification ID,Identification ID.1,False
Year of Birth,Year of Birth,False
Year of Birth,Year of Birth (Update),True
Year of Birth,Year of Birth.1,False
Relation to Entity,Relation to Entity,False
Relation to Entity,Relation to Entity (Update),True
Relation to Entity,Relation to Entity.1,False
Education Level,Education Level,False
Education Level,Education Level (Update),True
Education Level,Education Level.1,False
Lead Farmer,Lead Farmer,False
Lead Farmer,Lead Farmer (Update),True
Lead Farmer,Lead Farmer.1,False
Local Group,Local Group,True
Local Group,Local Group.1,False
Do you want to update existing address and contact information?,Do you want to update existing address and contact information?,True
Do you want to autofill the field with existing address and contact information?,Do you want to autofill the field with existing address and contact information?,True
Address,Address,False
Address,Address (Update),True
Address,Address.1,False
Phone Number,Phone Number,False
Phone Number,Phone Number (Update),True
Phone Number,Phone Number.1,False
Email,Email,False
Email,Email (Update),True
Email,Email.1,False
Number of adults in farmers family,Number of adults in farmers family,True
Number of adults in farmers family,Number of adults in farmers family.1,False
Number of boys in the family (living in the farm household),Number of boys in the family (living in the farm household),True
Number of boys in the family (living in the farm household),Number of boys in the family (living in the farm household).1,False
Number of girls in the family (living in the farm household),Number of girls in the family (living in the farm household),True
Number of girls in the family (living in the farm household),Number of girls in the family (living in the farm household).1,False
New people,New people,True
Other Identification ID,Other Identification ID,True
Nescafe Plan interaction/ technical assistance (M&E step 4),Nescafe Plan interaction/ technical assistance (M&E step 4),False
Nescafe Plan interaction/ technical assistance (M&E step 4),Nescafe Plan interaction/ technical assistance (M&E step 4).1,True
Year joined Nescafé Plan,Year joined Nescafé Plan,True
Number of Nescafe training sessions in last 12 months male,Number of Nescafe training sessions in last 12 months male,True
Number of Nescafe training sessions in last 12 months female,Number of Nescafe training sessions in last 12 months female,True
Number of Nescafe training sessions in last 12 months youth 18-29,Number of Nescafe training sessions in last 12 months youth 18-29,True
Number of technical visits by Nescafe /project staff in last 12 months:,Number of technical visits by Nescafe /project staff in last 12 months:,True
Number of individual home training visits by project staff after joining the programme,Number of individual home training visits by project staff after joining the programme,True
Did you receive training individual group on these specific topics,Did you receive training individual group on these specific topics,True
Has the farmer received/purchased coffee plantlets since joining the program?,Has the farmer received/purchased coffee plantlets since joining the program?,True
Yes - from Nescafe,Yes - from Nescafe,True
Yes - other sources such as government,Yes - other sources such as government,True
Yes - from unknown source,Yes - from unknown source,True
Produced planlets in their own nursery,Produced planlets in their own nursery,True
Hasnt sourced any planlets,Hasnt sourced any planlets,True
When did the farmer last receive/purchase coffee plantlets from Nescafé?,When did the farmer last receive/purchase coffee plantlets from Nescafé?,True
How many coffee plantlets has the farmer received / purchased from Nescafé in the past 12 months?,How many coffee plantlets has the farmer received / purchased from Nescafé in the past 12 months?,True
What % of coffee plantlets received and planted (cumulative) from Nescafé have survived to date?,What % of coffee plantlets received and planted (cumulative) from Nescafé have survived to date?,True
Classify the current condition of the plantlets (received from Nescafé):,Classify the current condition of the plantlets (received from Nescafé):,True
How satisfied is the farmer with the quality of plantlets received from Nescafé?,How satisfied is the farmer with the quality of plantlets received from Nescafé?,True
What is the objective for the purchased/developed plantlets?,What is the objective for the purchased/developed plantlets?,True
Expansion,Expansion,True
Filling up the gaps/renovation,Filling up the gaps/renovation,True
Not applicable,Not applicable,True
Farm economics & recordkeeping (M&E step 5),Farm economics & recordkeeping (M&E step 5),False
Farm economics & recordkeeping (M&E step 5),Farm economics & recordkeeping (M&E step 5).1,True
1st main cash crop beside coffee,1st main cash crop beside coffee,True
1st main cash crop beside coffee,1st main cash crop beside coffee.1,False
2nd main cash crop beside coffee,2nd main cash crop beside coffee,True
2nd main cash crop beside coffee,2nd main cash crop beside coffee.1,False
Other crop 1,Other crop 1,True
Other crop 2,Other crop 2,True
Other crops,Other crops,True
Livestock,Livestock,True
Livestock,Livestock.1,False
Livestock,Livestock.2,False
Livestock,Livestock.3,False
Livestock,Livestock.4,False
Livestock,Livestock.5,False
What type of livestock do you have?,What type of livestock do you have?,True
Number of livestock you have?,Number of livestock you have?,True
How do you sell your coffee,How do you sell your coffee,True
Coffee prices farm economics,Coffee prices farm economics,True
Volume,Volume,True
Volume,Volume.1,False
Volume,Volume.2,False
Volume,Volume.3,False
Volume,Volume.4,False
Volume,Volume.5,False
Volume,Volume.6,False
Volume,Volume.7,False
Volume,Volume.8,False
Volume,Volume.9,False
Volume,Volume.10,False
Volume,Volume.11,False
Volume,Volume.12,False
Volume,Volume.13,False
Volume,Volume.14,False
Volume,Volume.15,False
Volume,Volume.16,False
Average Green Bean Price,Average Green Bean Price,True
Average Wet Parchment Price,Average Wet Parchment Price,True
Average Dry Parchment Price,Average Dry Parchment Price,True
Average Fresh Cherry Price,Average Fresh Cherry Price,True
Average Dry Cherry Price,Average Dry Cherry Price,True
Average Husk Coffee Price,Average Husk Coffee Price,True
Coffee - Labor,Coffee - Labor,True
Coffee Family Labor (days/year) - male,Coffee Family Labor (days/year) - male,True
Coffee Family Labor (days/year) - female,Coffee Family Labor (days/year) - female,True
Coffee Family Labor (days/year) - other family members,Coffee Family Labor (days/year) - other family members,True
Coffee Total Family Labor,Coffee Total Family Labor,True
Coffee Temp Labor,Coffee Temp Labor,True
Coffee Permanent Labor,Coffee Permanent Labor,True
Coffee Average wage of paid labor/day,Coffee Average wage of paid labor/day,True
1st Cash Crop - Labor,1st Cash Crop - Labor,True
1st cash crop Family Labor (days/year) - male,1st cash crop Family Labor (days/year) - male,True
1st cash crop Family Labor (days/year) - female,1st cash crop Family Labor (days/year) - female,True
1st cash crop Family Labor (days/year) - other family members,1st cash crop Family Labor (days/year) - other family members,True
1st cash crop Total Family Labor,1st cash crop Total Family Labor,True
1st cash crop Temp Labor,1st cash crop Temp Labor,True
1st cash crop Permanent Labor,1st cash crop Permanent Labor,True
1st Cash Crop Average wage of paid labor/day,1st Cash Crop Average wage of paid labor/day,True
2nd Cash Crop - Labor,2nd Cash Crop - Labor,True
2nd cash crop Family Labor (days/year) - male,2nd cash crop Family Labor (days/year) - male,True
