entity_id,year_of_reporting,year_joined_nescafe_plan,no_male_last_12_months,no_female_last_12_months,no_youth_18_29_last_12_months,technical_visits_last_12_months
1469278379854638141,2024,2014.0,3,0,0,3
1469278379855009319,2024,2014.0,4 or more,0,0,4 or more
1469278379854640735,2024,2020.0,1,2,0,2
1469278379855008002,2024,2012.0,0,1,3,2
1469278379855009390,2024,2018.0,3,0,0,2
1469278379854638365,2024,2010.0,2,2,2,4 or more
1469278379854641789,2024,2014.0,0,2,0,2
1469278379854642507,2024,2012.0,0,3,0,4 or more
1469278379854641951,2024,2022.0,0,3,0,3
1469278379855008000,2024,2012.0,1,0,0,3
1469278379854642852,2024,2014.0,0,3,0,0
1469278379854638345,2024,2019.0,3,0,3,4 or more
1469278379854638306,2024,2011.0,2,0,2,4 or more
1469278379855004840,2024,2010.0,2,0,0,1
1469278379854642720,2024,2012.0,0,3,0,2
1469278379855005225,2024,2012.0,4 or more,0,0,3
1469278379855005212,2024,2014.0,2,2,0,1
1469278379854638332,2024,2019.0,3,3,3,4 or more
1469278379854642963,2024,2013.0,3,0,0,3
1469278379854638287,2024,2020.0,3,0,0,3
1469278379855005276,2024,2012.0,3,0,0,4 or more
1469278379855005249,2024,2018.0,4 or more,0,0,2
1469278379854642946,2024,2011.0,2,0,0,1
1469278379855008686,2024,2014.0,2,0,0,4 or more
1469278379855008072,2024,2015.0,3,1,0,1
1469278379855005043,2024,2015.0,0,2,2,4 or more
1469278379854641146,2024,2023.0,1,2,0,2
1469278379855005002,2024,2015.0,0,3,0,2
1469278379855005032,2024,2015.0,0,2,0,2
1469278379855005028,2024,2019.0,0,3,0,3
1469278379854640452,2024,2018.0,0,0,0,4 or more
1469278379854638593,2024,2010.0,2,2,0,4 or more
1469278379855008702,2024,2014.0,2,1,0,2
1469278379854639859,2024,2021.0,3,0,0,4 or more
1469278379854638512,2024,2014.0,1,1,0,2
1469278379854641222,2024,2021.0,0,3,0,0
1469278379854639942,2024,2020.0,0,1,0,2
1469278379854638490,2024,2011.0,3,3,0,3
1469278379854638519,2024,2020.0,0,3,0,4 or more
1469278379854638792,2024,2020.0,0,0,0,2
1469278379854642831,2024,2014.0,0,3,0,2
1469278379854639534,2024,2020.0,3,0,0,3
1469278379854638214,2024,2010.0,2,0,1,3
1469278379854639354,2024,2020.0,3,0,0,4 or more
1469278379854638432,2024,2019.0,2,0,0,1
1469278379854639362,2024,2020.0,3,0,0,3
1469278379854638434,2024,2011.0,3,2,0,4 or more
1469278379854639448,2024,2023.0,2,2,4 or more,1
1469278379854639340,2024,2020.0,2,1,0,1
1469278379854638373,2024,2011.0,3,0,0,4 or more
1469278379854639445,2024,2020.0,1,0,0,1
1469278379854639420,2024,2020.0,0,3,0,3
1469278379854642243,2024,2017.0,3,0,0,1
1469278379854642131,2024,2016.0,2,1,0,2
1469278379854639686,2024,2019.0,2,0,2,2
1469278379854642125,2024,2021.0,0,2,0,2
1469278379854640951,2024,2021.0,3,3,0,3
1469278379854642215,2024,2019.0,2,1,0,1
1469278379854640079,2024,2019.0,3,0,0,3
1469278379854642194,2024,2020.0,3,0,0,4 or more
1469278379854640971,2024,2020.0,3,3,0,2
1469278379854640065,2024,2019.0,0,3,0,3
1469278379854642173,2024,2014.0,3,0,0,3
1469278379854641215,2024,2021.0,1,1,0,3
1469278379854640961,2024,2023.0,2,3,0,4 or more
1469278379854640900,2024,2021.0,3,0,0,4 or more
1469278379854642890,2024,2014.0,2,0,0,3
1469278379854640339,2024,2021.0,1,0,0,1
1469278379854643031,2024,2014.0,0,3,0,2
1469278379854641605,2024,2023.0,0,2,0,1
1469278379854640257,2024,2020.0,0,2,0,4 or more
1469278379854643043,2024,2016.0,2,0,0,4 or more
1469278379854641569,2024,2022.0,2,0,0,2
1469278379854642073,2024,2021.0,3,0,0,1
1469278379854642301,2024,2018.0,1,1,2,3
1469278379854640613,2024,2015.0,3,3,3,3
1469278379854642479,2024,2021.0,2,1,0,3
1469278379854640625,2024,2015.0,3,2,0,4 or more
1469883818362505174,2024,2020.0,2,2,0,4 or more
