plot_id,entity_id,plot_number,year_started,production,total_coffee_area,active_coffee_area,rejuvenation_area
1469278379855004447_2,1469278379855004447,3.0,2020.0,10000.0,3.0,,
1469278379855004447_3,1469278379855004447,2.0,2020.0,10000.0,3.0,,
1469278379854781944_1,1469278379854781944,,2001.0,5000.0,1.5,,
1469278379854781789_1,1469278379854781789,,2000.0,9000.0,3.0,,
1469278379854781780_1,1469278379854781780,,2000.0,5000.0,2.0,,
1469278379855014611_1,1469278379855014611,,2011.0,5000.0,1.5,,
1469278379855014782_1,1469278379855014782,,2013.0,6000.0,2.0,,
1469278379855013420_1,1469278379855013420,,1997.0,22000.0,5.0,,
1469278379855013426_1,1469278379855013426,,2003.0,4000.0,1.0,,
1469278379855008977_1,1469278379855008977,,2009.0,3000.0,1.0,,
1469278379854782189_1,1469278379854782189,2.0,2011.0,13000.0,0.6,,
1469883818362504707_1,1469883818362504707,,2010.0,5000.0,1.5,,
1469278379855004763_1,1469278379855004763,2.0,2019.0,8000.0,1.8,,
1469278379854782176_1,1469278379854782176,,2009.0,10000.0,4.0,,0.0
1469278379855013194_1,1469278379855013194,2.0,2009.0,3000.0,1.0,,
1469278379854783010_1,1469278379854783010,,1999.0,10000.0,3.0,,
1469278379855012739_1,1469278379855012739,,2009.0,6000.0,1.5,,
1469278379854783130_1,1469278379854783130,,2015.0,2000.0,1.5,,
1469278379855009281_1,1469278379855009281,,2015.0,8000.0,1.5,,
1469883818362505057_1,1469883818362505057,,1997.0,2500.0,0.6,,
1469278379854782955_1,1469278379854782955,,2000.0,10000.0,2.0,,
1469278379854782066_1,1469278379854782066,,1998.0,4000.0,1.0,,
1469278379854782983_1,1469278379854782983,,2015.0,6000.0,1.5,,
1469278379855009775_1,1469278379855009775,3.0,2000.0,12000.0,3.0,,
1469278379855009775_2,1469278379855009775,2.0,2000.0,12000.0,3.0,,
1469278379854781982_1,1469278379854781982,,2001.0,2000.0,1.5,0.0,0.0
1469883818362504785_1,1469883818362504785,,2010.0,8000.0,2.5,,
1469278379854782311_1,1469278379854782311,,2013.0,5000.0,3.0,,
1469883818362504788_1,1469883818362504788,,2013.0,6000.0,2.0,,
1469278379854782873_1,1469278379854782873,,2003.0,5000.0,2.0,0.0,0.0
1469278379855013487_1,1469278379855013487,,2003.0,7000.0,1.8,,
1469278379854782303_1,1469278379854782303,,2000.0,10000.0,2.5,0.0,0.0
1469278379854782330_1,1469278379854782330,,2000.0,4000.0,3.0,0.0,0.0
1469278379855013538_1,1469278379855013538,,2000.0,5000.0,1.0,,
1469278379854677182_1,1469278379854677182,,2010.0,4000.0,1.0,,
1469278379854782765_1,1469278379854782765,2.0,2004.0,10000.0,4.0,,
1469278379854677051_1,1469278379854677051,,2009.0,6000.0,2.5,0.0,0.0
1469278379855012279_1,1469278379855012279,,1998.0,9000.0,2.0,,
1469278379854782856_1,1469278379854782856,,1996.0,15000.0,1.0,,
1469278379855009590_1,1469278379855009590,,2007.0,5000.0,0.9,,
1469278379855009590_2,1469278379855009590,,2011.0,5000.0,1.1,,
1469278379855009590_3,1469278379855009590,,2009.0,7000.0,1.3,,
1469278379854677054_1,1469278379854677054,,2004.0,5000.0,1.2,0.0,0.0
1469278379855012573_1,1469278379855012573,2.0,1996.0,3000.0,0.7,,
1469278379854783229_1,1469278379854783229,,2013.0,2000.0,1.5,,
1469278379854781962_1,1469278379854781962,,2004.0,7000.0,2.0,0.0,0.0
1469278379854677037_1,1469278379854677037,,2005.0,5000.0,1.5,0.0,0.0
1469278379855012570_1,1469278379855012570,2.0,2005.0,6000.0,1.4,,
1469883818362504744_1,1469883818362504744,,2007.0,5000.0,1.5,0.0,0.0
1469278379855012184_1,1469278379855012184,,1999.0,2000.0,0.5,,
1469883818362504715_1,1469883818362504715,,2005.0,4500.0,1.1,0.0,0.0
1469278379854783135_1,1469278379854783135,,2008.0,5000.0,1.7,,
1469278379855012158_1,1469278379855012158,,2007.0,8000.0,2.0,,
1469278379854783115_1,1469278379854783115,,1999.0,3000.0,1.2,,
1469278379854782426_1,1469278379854782426,,1995.0,3000.0,2.0,0.0,0.0
1469278379855013057_1,1469278379855013057,3.0,2005.0,1800.0,0.6,,
1469278379855013057_2,1469278379855013057,2.0,2005.0,1800.0,0.6,,
1469278379854783104_1,1469278379854783104,,2012.0,6000.0,2.0,,
1469278379854782419_1,1469278379854782419,,2000.0,5000.0,1.5,0.0,0.0
1469278379855009927_1,1469278379855009927,,2003.0,1500.0,0.5,0.0,0.0
1469278379854677226_1,1469278379854677226,,2005.0,12000.0,2.0,,
1469278379855012818_1,1469278379855012818,,2013.0,6000.0,1.5,,
1469278379854677162_1,1469278379854677162,,2000.0,5500.0,1.7,,
1469278379854782733_1,1469278379854782733,,2013.0,4000.0,1.5,0.0,0.0
1469278379854677174_1,1469278379854677174,,2000.0,6000.0,2.0,,
1469278379854783053_1,1469278379854783053,2.0,2008.0,8000.0,3.0,0.0,0.0
1469278379854782727_1,1469278379854782727,,2012.0,6000.0,3.0,0.0,0.0
1469278379855013676_1,1469278379855013676,2.0,2014.0,6000.0,1.6,,
1469278379855013697_1,1469278379855013697,,2008.0,3500.0,0.8,,
1469278379854782243_1,1469278379854782243,,1999.0,23000.0,1.5,0.0,0.0
1469278379855012382_1,1469278379855012382,,1999.0,8000.0,2.2,,
1469278379854783211_1,1469278379854783211,,2011.0,6000.0,2.3,0.0,0.0
1469278379855012339_1,1469278379855012339,,2001.0,5000.0,1.0,,
1469278379854783216_1,1469278379854783216,,2005.0,10000.0,0.5,0.0,0.0
1469278379855012856_1,1469278379855012856,,2010.0,5000.0,1.0,,
1469278379855013932_1,1469278379855013932,,1995.0,3500.0,1.0,0.0,0.0
1469278379855013152_1,1469278379855013152,,2014.0,4000.0,1.0,,
1469278379855014007_1,1469278379855014007,3.0,2011.0,20000.0,3.0,,
1469278379855014007_2,1469278379855014007,2.0,2011.0,20000.0,3.0,,
1469278379855013593_1,1469278379855013593,,2008.0,3000.0,1.0,,
1469278379855013826_1,1469278379855013826,2.0,1995.0,3500.0,1.3,,
1469278379855012881_1,1469278379855012881,2.0,2016.0,9000.0,2.0,,
1469278379855013861_1,1469278379855013861,,2000.0,7000.0,2.0,,
1469278379855013563_1,1469278379855013563,2.0,1999.0,3000.0,1.2,0.0,0.0
1469278379855012835_1,1469278379855012835,,1999.0,6000.0,1.0,,
1469278379855009880_1,1469278379855009880,,2003.0,14000.0,3.0,0.0,0.0
1469278379855009844_1,1469278379855009844,,1999.0,16000.0,3.0,0.0,0.0
1469278379855009842_1,1469278379855009842,3.0,2001.0,18000.0,3.5,,
1469278379855009842_2,1469278379855009842,2.0,2001.0,18000.0,3.5,,
1469278379854641911_1,1469278379854641911,3.0,1999.0,4500.0,1.5,0.0,0.0
1469278379854641911_2,1469278379854641911,2.0,1999.0,4500.0,1.5,0.0,0.0
1469278379855005159_1,1469278379855005159,,2015.0,1600.0,0.6,,
1469278379855008338_1,1469278379855008338,,2004.0,4000.0,1.0,0.0,0.0
1469278379854638788_1,1469278379854638788,,2005.0,10000.0,3.0,,
1469278379855008185_1,1469278379855008185,,2012.0,6000.0,2.0,,
1469278379855008185_2,1469278379855008185,,2006.0,6000.0,2.0,,
1469278379855009021_1,1469278379855009021,,1996.0,3000.0,1.0,,
1469278379855004887_1,1469278379855004887,,2011.0,4000.0,1.1,0.0,0.0
1469278379854638847_1,1469278379854638847,2.0,2014.0,20000.0,6.0,0.0,0.0
1469278379855004785_1,1469278379855004785,2.0,2017.0,8000.0,2.0,,
1469278379855004825_1,1469278379855004825,,2020.0,5000.0,1.0,,
1469278379855014199_1,1469278379855014199,,1999.0,18000.0,3.0,0.0,0.0
1469278379855014401_1,1469278379855014401,,2018.0,8000.0,1.3,,
1469278379854640837_1,1469278379854640837,,2007.0,9000.0,2.0,0.0,0.0
1469278379855014074_1,1469278379855014074,,2011.0,7000.0,1.6,0.0,0.0
1469278379854639556_1,1469278379854639556,,2016.0,7000.0,2.0,0.0,0.0
1469278379854640166_1,1469278379854640166,,2008.0,18000.0,5.0,0.0,0.0
1469883818362504681_1,1469883818362504681,1.0,,,,,
1469278379855014088_1,1469278379855014088,,2000.0,6000.0,1.8,0.0,0.0
1469278379855014073_1,1469278379855014073,,2017.0,8000.0,2.0,,
1469278379855014104_1,1469278379855014104,,1999.0,6000.0,1.9,,
1469278379855014345_1,1469278379855014345,,2020.0,1500.0,0.5,,
1469883818362504890_1,1469883818362504890,,2011.0,4000.0,1.3,0.0,0.0
1469278379855014289_1,1469278379855014289,,2001.0,5000.0,1.0,,
1469278379854641656_1,1469278379854641656,,2003.0,8000.0,2.0,0.0,0.0
1469278379854642031_1,1469278379854642031,3.0,2008.0,7000.0,2.0,0.0,0.0
1469278379854642031_2,1469278379854642031,2.0,2008.0,7000.0,2.0,0.0,0.0
1469278379855008648_1,1469278379855008648,,2004.0,5000.0,1.2,0.0,0.0
1469278379855008633_1,1469278379855008633,,2007.0,3000.0,1.0,,
1469278379854639991_1,1469278379854639991,3.0,2000.0,6000.0,2.0,0.0,0.0
1469278379854639991_2,1469278379854639991,2.0,2000.0,6000.0,2.0,0.0,0.0
1469883818362504409_1,1469883818362504409,,2002.0,3700.0,1.0,0.0,0.0
1469278379855014643_1,1469278379855014643,,1999.0,3000.0,0.5,0.0,0.0
1469278379855009318_1,1469278379855009318,2.0,2001.0,13000.0,2.5,,
1469278379854638141_1,1469278379854638141,,2005.0,4980.0,1.0,0.0,0.0
1469278379855009319_1,1469278379855009319,4.0,2003.0,10000.0,2.0,,
1469278379855009319_2,1469278379855009319,3.0,2003.0,10000.0,2.0,,
1469278379855009319_3,1469278379855009319,2.0,2003.0,10000.0,2.0,,
1469278379854640735_1,1469278379854640735,,2015.0,13500.0,3.0,,
1469278379855008002_1,1469278379855008002,,2005.0,3000.0,1.0,0.0,0.0
1469278379855009390_1,1469278379855009390,2.0,2000.0,6000.0,1.2,,
1469278379854638365_1,1469278379854638365,2.0,2001.0,7000.0,1.5,,
1469278379854641789_1,1469278379854641789,,2005.0,20000.0,6.0,,
1469278379854642507_1,1469278379854642507,2.0,2007.0,7020.0,1.5,,
1469278379854641951_1,1469278379854641951,4.0,2011.0,7000.0,1.5,0.0,0.0
1469278379854641951_2,1469278379854641951,3.0,2011.0,7000.0,1.5,0.0,0.0
1469278379854641951_3,1469278379854641951,2.0,2011.0,7000.0,1.5,0.0,0.0
1469278379855008000_1,1469278379855008000,2.0,2005.0,6000.0,3.0,0.0,0.0
1469278379854642852_1,1469278379854642852,,2002.0,5000.0,1.0,,
1469278379854638345_1,1469278379854638345,2.0,2003.0,12000.0,2.2,0.0,0.0
1469278379854638306_1,1469278379854638306,,2010.0,5000.0,1.1,0.0,0.0
1469278379855004840_1,1469278379855004840,,1995.0,11000.0,3.5,,
1469278379854642720_1,1469278379854642720,,2011.0,15000.0,3.0,,
1469278379855005225_1,1469278379855005225,,2017.0,8000.0,2.0,0.0,0.0
1469278379855005212_1,1469278379855005212,,2017.0,4000.0,1.0,0.0,0.0
1469278379855005212_2,1469278379855005212,,2007.0,12000.0,3.0,0.0,0.0
1469278379854638332_1,1469278379854638332,2.0,2008.0,12000.0,3.0,0.0,0.0
1469278379854642963_1,1469278379854642963,3.0,2016.0,5000.0,1.5,,
1469278379854642963_2,1469278379854642963,2.0,2016.0,5000.0,1.5,,
1469278379854638287_1,1469278379854638287,,2001.0,8000.0,2.0,0.0,0.0
1469278379855005276_1,1469278379855005276,,2000.0,8000.0,2.0,0.0,0.0
1469278379855005249_1,1469278379855005249,3.0,1996.0,12000.0,2.4,,
1469278379855005249_2,1469278379855005249,2.0,1996.0,12000.0,2.4,,
1469278379854642946_1,1469278379854642946,3.0,,,,,
1469278379854642946_2,1469278379854642946,2.0,,,,,
1469278379855008686_1,1469278379855008686,2.0,1999.0,4000.0,1.5,0.0,0.0
1469278379855008072_1,1469278379855008072,4.0,1994.0,12000.0,3.0,,
1469278379855008072_2,1469278379855008072,3.0,1994.0,12000.0,3.0,,
1469278379855008072_3,1469278379855008072,2.0,1994.0,12000.0,3.0,,
1469278379855005043_1,1469278379855005043,6.0,2014.0,4000.0,1.5,0.0,0.0
1469278379855005043_2,1469278379855005043,5.0,2014.0,4000.0,1.5,0.0,0.0
1469278379854641146_1,1469278379854641146,,2013.0,5000.0,1.0,0.0,0.0
1469278379855005002_1,1469278379855005002,,2002.0,12000.0,3.0,,
1469278379855005032_1,1469278379855005032,,2013.0,9000.0,2.0,,
1469278379855005028_1,1469278379855005028,,2009.0,6000.0,1.6,0.0,0.0
1469278379854640452_1,1469278379854640452,,2001.0,10000.0,2.5,,
1469278379854638593_1,1469278379854638593,,2000.0,3480.0,0.9,0.0,0.0
1469278379855008702_1,1469278379855008702,3.0,2000.0,5500.0,2.2,,
1469278379855008702_2,1469278379855008702,2.0,2000.0,5500.0,2.2,,
1469278379854639859_1,1469278379854639859,,2000.0,6000.0,1.5,0.0,0.0
1469278379854638512_1,1469278379854638512,,1998.0,9000.0,2.0,,
1469278379854641222_1,1469278379854641222,2.0,2009.0,4000.0,1.0,0.0,0.0
1469278379854639942_1,1469278379854639942,3.0,1999.0,20000.0,4.0,0.0,0.0
1469278379854639942_2,1469278379854639942,2.0,1999.0,20000.0,4.0,0.0,0.0
1469278379854638490_1,1469278379854638490,,2002.0,7980.0,2.0,0.0,0.0
1469278379854638519_1,1469278379854638519,,2001.0,6000.0,1.5,0.0,0.0
