entity_id,education_level
1469278379854643043,Secondary school
1469278379854641569,Secondary school
1469278379854642073,Senior High School
1469278379854642301,Secondary school
1469278379854640613,Primary school
1469278379854642479,Senior High School
1469278379854640625,Senior High School
1469883818362505174,Senior High School
1469278379855039037,Primary school
1469278379855040664,Secondary school
1469278379855036915,
1469278379855037067,Secondary school
1469278379855038019,Primary school
1469278379855037842,Primary school
1469278379855040862,Secondary school
1469278379855038442,Secondary school
1469278379855004727,
1469278379855040212,Secondary school
1469278379855039053,Secondary school
1469278379855038729,Primary school
1469278379855038358,Senior High School
1469278379855037425,Primary school
1469278379855038409,Primary school
1469278379855039084,Senior High School
1469278379855040001,Senior High School
1469278379855038668,Primary school
1469278379855009580,
1469278379855040455,Senior High School
1469278379855040422,Senior High School
1469278379855039608,Senior High School
1469278379855038830,
1469278379855039042,Secondary school
1469883818362505115,Primary school
1469883818362505118,Secondary school
1469278379855038999,Primary school
1469278379855039728,Secondary school
1469278379855039878,Primary school
1469278379855038499,Primary school
1469278379855039832,Senior High School
1469278379855037698,Senior High School
1469278379855037177,Senior High School
1469278379855037185,Primary school
1469278379855040741,Primary school
1469278379855037201,
1469278379855039787,Primary school
1469278379855040252,University
1469278379855040132,Secondary school
1469278379855039488,Primary school
1469278379855040307,Secondary school
1469278379855039486,Senior High School
1469278379855040352,Primary school
1469278379855039407,Secondary school
1469278379855040432,Primary school
1469278379855038122,Secondary school
1469278379855040242,Primary school
1469278379855039629,Secondary school
1469883818362505224,Tertiary education
1469278379855040198,Senior High School
1469278379855040099,Primary school
1469278379855038070,Primary school
1469278379855038552,Senior High School
1469278379855038690,Senior High School
1469278379855037403,Primary school
1469278379855038672,Senior High School
1469278379855037409,Senior High School
1469278379855037416,Senior High School
1469278379855037520,
1469278379855037251,
1469278379855040589,Senior High School
1469278379855036998,Secondary school
1469278379854782610,Senior High School
1469278379855039342,Senior High School
1469278379855037024,Primary school
1469278379855039320,
1469278379855036851,Primary school
1469278379855036956,Primary school
1469278379855012202,
1469278379855037391,Secondary school
1469278379854640502,-
1469278379854640527,Secondary school
1469278379855013741,
1469278379855039900,
1469278379855040542,
1469278379855004500,
1469278379855004491,
1469278379854641314,Senior High School
1469278379855036603,Tertiary education
1469278379855037069,
1469278379855037183,Secondary school
1469278379855037071,Tertiary education
1469278379855036960,
1469278379855036789,
1469278379855037002,
1469278379855036719,-
1469278379855036643,
1469278379855009751,Secondary school
1469278379855004455,
1469278379855004533,
1469278379855040784,Secondary school
1469278379855004487,
1469278379855038127,
1469278379855004451,
1469278379854782766,
