entity_id,latitude,longitude,altitude,polygon,polygon_area,total_farm_area,plot_number
1470157558564695309,11.6706197,107.9773481,0.0,-,0.0,2.95,1.0
1470157558564695295,11.6876781616657,107.97510462042028,0.0,,0.0,4.0,2.0
1470157558564695295,11.6876781616657,107.97510462042028,0.0,,0.0,4.0,1.0
1470157558564694946,11.66749954,108.0019989,0.0,-,0.0,3.0,4.0
1470157558564694946,11.66749954,108.0019989,0.0,-,0.0,3.0,3.0
1470157558564694946,11.66749954,108.0019989,0.0,-,0.0,3.0,2.0
1470157558564694946,11.66749954,108.0019989,0.0,-,0.0,3.0,1.0
1470157558564695057,11.6840511,107.973337,0.0,,0.0,1.97,1.0
1470157558564694699,11.70945712366301,107.998989410799,0.0,-,0.0,1.8,1.0
1470157558564694968,11.66056327229856,108.00231757720404,0.0,-,0.0,2.0,1.0
1470157558564694704,11.65503233672274,107.95004605325678,0.0,,0.0,2.25,1.0
1470157558564695065,11.6618952,108.0051727,0.0,-,0.0,2.4,1.0
1470157558564694989,11.67119979,108.012001,0.0,,0.0,1.0,1.0
1470157558564695215,11.67850279092412,108.00309792381309,0.0,-,0.0,1.0,1.0
1470157558564694714,11.64155905601721,107.94360305192689,0.0,,0.0,0.6,1.0
1470157558564694722,11.63509346545801,107.93956758464496,0.0,-,0.0,3.21,2.0
1470157558564694722,11.63509346545801,107.93956758464496,0.0,-,0.0,3.21,1.0
1470157558564694903,11.630799,107.9661404,0.0,-,0.0,1.6,1.0
1470157558564694972,11.66459234187817,107.99135101594636,0.0,-,0.0,0.34,1.0
1470157558564694797,11.64032398258489,107.96612547720592,0.0,,0.0,2.0,2.0
1470157558564694797,11.64032398258489,107.96612547720592,0.0,,0.0,2.0,1.0
1470157558564695074,11.6619104,107.9955861,0.0,-,0.0,4.0,1.0
1470157558564694799,11.63904976566475,107.96527907262366,0.0,-,0.0,1.5,1.0
1470157558564695163,11.6345568,108.1795138,0.0,-,0.0,1.74,1.0
1470157558564695952,11.53396970127852,108.072872785952,0.0,-,0.0,1.0,1.0
1470157558564695873,11.49247707361826,108.03853983888156,0.0,-,0.0,2.0,1.0
