entity_id,question_label,response_text,theme_label,feedback_id
1469278379854639222,Year joined Nescafe Plan,2018.0,programs,68
1469278379854639342,Year joined Nescafe Plan,2021.0,programs,69
1469278379854638502,Year joined Nescafe Plan,2010.0,programs,70
1469278379854638316,Year joined Nescafe Plan,2010.0,programs,71
1469883818362504539,Year joined Nescafe Plan,2023.0,programs,72
1469278379855013128,Year joined Nescafe Plan,2021.0,programs,73
1469278379855012334,Year joined Nescafe Plan,2012.0,programs,74
1469278379855013186,Year joined Nescafe Plan,2014.0,programs,75
1469883818362504743,Year joined Nescafe Plan,2021.0,programs,76
1469278379854782274,Year joined Nescafe Plan,2019.0,programs,77
1469278379855014872,Year joined Nescafe Plan,2020.0,programs,78
1469278379855004447,Year joined Nescafe Plan,2014.0,programs,79
1469278379855004447,Year joined Nescafe Plan,2014.0,programs,80
1469278379855004447,Year joined Nescafe Plan,2014.0,programs,81
1469278379854781944,Year joined Nescafe Plan,2011.0,programs,82
1469278379854781789,Year joined Nescafe Plan,2011.0,programs,83
1469278379854781780,Year joined Nescafe Plan,2014.0,programs,84
1469278379855014611,Year joined Nescafe Plan,2015.0,programs,85
1469278379855014782,Year joined Nescafe Plan,2021.0,programs,86
1469278379855013420,Year joined Nescafe Plan,2015.0,programs,87
1469278379855013426,Year joined Nescafe Plan,2015.0,programs,88
1469278379855008977,Year joined Nescafe Plan,2017.0,programs,89
1469278379854782189,Year joined Nescafe Plan,2015.0,programs,90
1469883818362504707,Year joined Nescafe Plan,2019.0,programs,91
1469278379855004763,Year joined Nescafe Plan,2013.0,programs,92
1469278379854782176,Year joined Nescafe Plan,2014.0,programs,93
1469278379855013194,Year joined Nescafe Plan,2020.0,programs,94
1469278379854783010,Year joined Nescafe Plan,2010.0,programs,95
1469278379855012739,Year joined Nescafe Plan,2010.0,programs,96
1469278379854783130,Year joined Nescafe Plan,2012.0,programs,97
1469278379855009281,Year joined Nescafe Plan,2019.0,programs,98
1469883818362505057,Year joined Nescafe Plan,2023.0,programs,99
1469278379854782955,Year joined Nescafe Plan,2011.0,programs,100
1469278379854782066,Year joined Nescafe Plan,2021.0,programs,101
1469278379854782983,Year joined Nescafe Plan,2012.0,programs,102
1469278379855009775,Year joined Nescafe Plan,2015.0,programs,103
1469278379855009775,Year joined Nescafe Plan,2015.0,programs,104
1469278379854781982,Year joined Nescafe Plan,2011.0,programs,105
1469883818362504785,Year joined Nescafe Plan,2015.0,programs,106
1469278379854782311,Year joined Nescafe Plan,2010.0,programs,107
