entity_id,fertilizer_used,n_pct,p_pct,k_pct,unacceptable_4c,weed_management
1469278379854782330,NPK 19.9.19,19.0,9.0,19.0,No,mowing/cutting
1469278379855013538,NPK22-5-5,22.0,5.0,5.0,No,combination of practices
1469278379854677182,ure 46,46.0,0.0,0.0,No,mowing/cutting
1469278379854782765,npk 20-10-10,20.0,10.0,10.0,No,mowing/cutting
1469278379854677051,ure,46.0,0.0,0.0,No,mowing/cutting
1469278379855012279,NPK20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379854782856,urê 46,46.0,0.0,0.0,No,combination of practices
1469278379855009590,npk 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379854677054,npk 17-17-18,17.0,17.0,18.0,No,mowing/cutting
1469278379855012573,NPK 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379854783229,npk 30-10-10,30.0,10.0,10.0,No,combination of practices
1469278379854781962,NPK 20.5.5,20.0,5.0,5.0,No,hand hoe
1469278379854677037,ure,46.0,0.0,0.0,No,mowing/cutting
1469278379855012570,NPK20-5-6,20.0,5.0,6.0,No,combination of practices
1469883818362504744,npk 20-10-10,20.0,10.0,10.0,No,mowing/cutting
1469278379855012184,u4re 46,46.0,0.0,0.0,No,combination of practices
1469883818362504715,npk 20-10-10,20.0,10.0,10.0,No,mowing/cutting
1469278379854783135,NPK 17-7-17,17.0,7.0,17.0,No,mowing/cutting
1469278379855012158,ure 46,46.0,0.0,0.0,No,combination of practices
1469278379854783115,npk 20-5-6,20.0,5.0,6.0,No,mowing/cutting
1469278379854782426,SA 21%,21.0,0.0,0.0,No,mowing/cutting
1469278379855013057,URE 46,46.0,0.0,0.0,No,combination of practices
1469278379854783104,Ure 46%,46.0,0.0,0.0,No,mowing/cutting
1469278379854782419,ure 46,46.0,0.0,0.0,No,mowing/cutting
1469278379855009927,NPK16-16-8,16.0,16.0,8.0,No,hand hoe
1469278379854677226,NPK 20-12-17,20.0,12.0,17.0,No,combination of practices
1469278379855012818,NPK22-5-5,22.0,5.0,5.0,No,combination of practices
1469278379854677162,npk 20-10-10,20.0,10.0,10.0,No,combination of practices
1469278379854782733,Npk 20.5.5,20.0,5.0,5.0,No,mowing/cutting
1469278379854677174,npk 20-20-15,20.0,20.0,15.0,No,combination of practices
1469278379854783053,ure,46.0,0.0,0.0,No,mowing/cutting
1469278379854782727,NPK 20.10.10,20.0,10.0,10.0,No,mowing/cutting
1469278379855013676,ure 46,46.0,0.0,0.0,No,combination of practices
1469278379855013697,NPK20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379854782243,npk 20-8-20,20.0,8.0,20.0,No,combination of practices
1469278379855012382,Npk20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379854783211,npk 20-18-6,20.0,18.0,6.0,No,combination of practices
1469278379855012339,NPK 16-16-8,16.0,16.0,8.0,No,combination of practices
1469278379854783216,npk 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379855012856,NPK 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379855013932,NPK 17-9-19,17.0,9.0,19.0,No,combination of practices
1469278379855013152,NPK 20-20-20,20.0,20.0,20.0,No,combination of practices
1469278379855014007,npk 16-16-8,16.0,16.0,8.0,No,combination of practices
1469278379855013593,Npk phú m? 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379855013826,NPK 16-8-16,16.0,16.0,8.0,No,combination of practices
1469278379855012881,NPK 16-8-16,16.0,8.0,16.0,No,combination of practices
1469278379855013861,npk 20-5-6,20.0,5.0,6.0,No,combination of practices
1469278379855013563,NPK Yaramila racel 21-17-3,21.0,17.0,3.0,No,combination of practices
1469278379855012835,NPK20-20-20,20.0,20.0,20.0,No,combination of practices
1469278379855009880,Phân Urê,46.0,0.0,0.0,No,mowing/cutting
1469278379855009844,NPK 17-7-17,17.0,7.0,17.0,No,combination of practices
1469278379855009842,npk 20-8-6,20.0,8.0,6.0,No,mowing/cutting
1469278379854641911,Npk 17-8-17,17.0,8.0,17.0,No,mowing/cutting
1469278379855005159,SA 21%,21.0,0.0,0.0,No,mowing/cutting
1469278379855008338,NPK 16-16-8+13s +Te,16.0,16.0,8.0,No,combination of practices
1469278379854638788,ure 46,46.0,0.0,0.0,No,mowing/cutting
1469278379855008185,npk 16-16-8,16.0,16.0,8.0,No,mowing/cutting
1469278379855009021,SA 21%,21.0,0.0,0.0,No,mowing/cutting
1469278379855004887,NPK phú m? 20-7-7 +Te,20.0,7.0,7.0,No,mowing/cutting
1469278379854638847,NPK 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469278379855004785,npk 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379855004825,NPK phú M? 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469278379855014199,NPK 20-5-6,20.0,5.0,6.0,No,mowing/cutting
1469278379855014401,npk 16-16-8,16.0,16.0,8.0,No,mowing/cutting
1469278379854640837,npk 16-16-8,16.0,16.0,8.0,No,mowing/cutting
1469278379855014074,NPK 16-16-8,16.0,16.0,8.0,No,combination of practices
1469278379854639556,npk 25-5-5,25.0,5.0,5.0,No,mowing/cutting
1469278379854640166,npk 16-16-8,16.0,16.0,8.0,No,combination of practices
1469883818362504681,npk 20-10-10,20.0,10.0,10.0,No,mowing/cutting
1469278379855014088,NPK 20-10-10,20.0,10.0,10.0,No,combination of practices
1469278379855014073,npk 16-16-16,16.0,16.0,16.0,No,hand hoe
1469278379855014104,npk 17-5-19,17.0,5.0,19.0,No,combination of practices
1469278379855014345,npk phú m? 16-16-8,16.0,16.0,8.0,No,combination of practices
1469883818362504890,NPK 20-5-5+TE,20.0,5.0,5.0,No,combination of practices
1469278379855014289,npk vi?t nh?t 16-10-6,16.0,10.0,6.0,No,combination of practices
1469278379854641656,NPK 20-5-6,20.0,5.0,6.0,No,mowing/cutting
1469278379854642031,NPK 21-16-6,21.0,16.0,6.0,No,mowing/cutting
1469278379855008648,NPK 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379855008633,NPK 25-25-5,25.0,25.0,5.0,No,combination of practices
1469278379854639991,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469883818362504409,16-16-8,16.0,16.0,8.0,No,mowing/cutting
1469278379855014643,Npk mùa khô 20-5-6,20.0,5.0,6.0,No,combination of practices
1469278379855009318,NPK 21-0-0,21.0,0.0,0.0,No,mowing/cutting
1469278379854638141,npk 17-7-17,17.0,7.0,17.0,No,mowing/cutting
1469278379855009319,npk ??u trâu 20-10-10,20.0,10.0,10.0,No,combination of practices
1469278379854640735,npk 20-10-10,20.0,10.0,10.0,No,mowing/cutting
1469278379855008002,NPK mùa khô 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469278379855009390,npk phú m? 17-8-19,17.0,8.0,19.0,No,combination of practices
1469278379854638365,NPK 20-5-5,20.0,5.0,5.0,No,hand hoe
1469278379854641789,npk 20-16-8,20.0,16.0,8.0,No,mowing/cutting
1469278379854642507,npk 16-16-8,16.0,16.0,8.0,No,hand hoe
1469278379854641951,npk 20-20-15,20.0,20.0,15.0,No,mowing/cutting
1469278379855008000,Npk 16-16-8 -13s,16.0,16.0,8.0,No,hand hoe
1469278379854642852,NPK 20-20-5,20.0,20.0,5.0,No,hand hoe
1469278379854638345,npk 16-16-8,16.0,16.0,8.0,No,mowing/cutting
1469278379854638306,NPK 20.5.5,20.0,5.0,5.0,No,mowing/cutting
1469278379855004840,npk 20-7-7,20.0,7.0,7.0,No,combination of practices
1469278379854642720,npk 30-10-10,30.0,10.0,10.0,No,mowing/cutting
1469278379855005225,Phân Urê,46.0,0.0,0.0,No,mowing/cutting
1469278379855005212,npk 16-16-8,16.0,16.0,8.0,No,combination of practices
1469278379854638332,npk 20 5 5,20.0,5.0,5.0,No,mowing/cutting
1469278379854642963,npk 20-5-6,20.0,5.0,6.0,No,mowing/cutting
1469278379854638287,ure 46,46.0,0.0,0.0,No,mowing/cutting
1469278379855005276,SA 21%,21.0,0.0,0.0,No,mowing/cutting
1469278379855005249,npk 18-18-6,18.0,18.0,6.0,No,combination of practices
1469278379854642946,npk 16-16-8,16.0,16.0,8.0,No,mowing/cutting
1469278379855008686,NPK 16-16-8,16.0,16.0,8.0,No,combination of practices
1469278379855008072,phân bón Hoá Sinh 20-10-10,20.0,10.0,10.0,No,mowing/cutting
1469278379855005043,npk 16-16-8,16.0,16.0,8.0,No,mowing/cutting
1469278379854641146,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469278379855005002,npk 16-16-8,16.0,16.0,8.0,No,combination of practices
1469278379855005032,npk ??u trâu 18-16-0,18.0,16.0,0.0,No,combination of practices
1469278379855005028,NPK 16-10-6,16.0,10.0,6.0,No,mowing/cutting
1469278379854640452,npk 20-10-10,20.0,10.0,10.0,No,mowing/cutting
1469278379854638593,npk 17-6-17,17.0,6.0,17.0,No,mowing/cutting
1469278379855008702,npk 20-6-4,20.0,6.0,4.0,No,combination of practices
1469278379854639859,NPK 20.5.5,20.0,5.0,5.0,No,mowing/cutting
1469278379854638512,npk 20-10-15,20.0,10.0,15.0,No,combination of practices
1469278379854641222,SA 21%,21.0,0.0,0.0,No,mowing/cutting
1469278379854639942,NPK 17-7-17,17.0,7.0,17.0,No,mowing/cutting
1469278379854638490,npk 16-16-8,16.0,16.0,8.0,No,mowing/cutting
1469278379854638519,Ure 46,46.0,0.0,0.0,No,combination of practices
1469278379854638792,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469278379854642831,npk 20-10-8,20.0,10.0,8.0,No,hand hoe
1469278379854639534,npk 20-6-6,20.0,6.0,6.0,No,mowing/cutting
1469278379854638214,npk 16-16-8,16.0,16.0,8.0,No,combination of practices
1469278379854639354,npk 22-15-16,22.0,15.0,16.0,No,mowing/cutting
1469278379854638432,Ure 46,46.0,0.0,0.0,No,mowing/cutting
