plot_id,entity_id,plot_number,species,variety,year_started,polygon_area,total_coffee_area,coffee_area_active,coffee_area_rejuvenation,coffee_area_intercropping,intercropping_crops
777,7955439997587858916,1.0,,Criollo de Romex,2025.0,,1.5,0.0,0.0,0.0,Shade trees
778,7955439997587858898,1.0,,Criollo de Romex,2001.0,,1.0,0.0,0.0,0.0,Shade trees
779,7955439997587858859,1.0,,FRT06,2015.0,,1.0,0.0,0.0,0.0,Shade trees
780,1470002575945812296,1.0,,Robusta,1990.0,,3.85,3.85,0.0,0.0,
781,1470002575945812552,1.0,,Robusta,1988.0,,6.5,6.5,0.0,0.0,Cocoa (Theobroma cacao)
782,1470002575945812516,1.0,,Robusta,1978.0,,1.57,1.57,0.0,0.0,"Cashew,Cocoa (Theobroma cacao)"
783,1470002575945812217,1.0,,Robusta,1990.0,,2.89,2.89,0.0,0.0,
784,7955439997587858848,1.0,,Criollo de Romex,2004.0,,1.0,0.0,0.0,0.0,Shade trees
785,7955662907699201292,1.0,True,LEMPIRA,2015.0,,3.35,0.0,0.0,0.0,
786,1470002575945812542,1.0,,Robusta,2006.0,,2.0,2.0,0.0,0.0,
787,7955439997587858815,1.0,,FRT06,1995.0,,1.0,0.0,0.0,0.0,Shade trees
788,1470002575945812144,1.0,,Robusta,1975.0,,5.92,5.92,0.0,0.0,"Cacao,Cashew"
789,7955439997587861599,1.0,,Criollo de Romex,1970.0,,4.0,0.0,0.0,0.0,"Fruit Tree,Shade trees"
790,1470002575945812220,1.0,,Robusta,2008.0,,1.39,1.39,0.0,0.0,Cocoa (Theobroma cacao)
791,1470002575945812316,1.0,,Robusta,1998.0,,5.58,5.58,0.0,0.0,
792,1470002575936436602,1.0,True,IHCAFE90,2013.0,,2.0,2.0,0.0,0.0,"Banana,Shade trees"
793,7955439997587858928,1.0,,Criollo,2010.0,,1.0,0.0,0.0,0.0,Shade trees
794,7955439997587861600,1.0,,Criollo,1995.0,,2.5,0.0,0.0,0.0,Shade trees
795,1470002575945812559,1.0,,Robusta,1986.0,,3.0,3.0,0.0,0.0,Cocoa (Theobroma cacao)
796,1470002575945815899,1.0,,Robusta,1994.0,,1.0,1.0,0.0,0.0,
797,7955662907699201046,1.0,True,IHCAFE90,2008.0,,2.44,0.0,0.0,0.0,Shade trees
798,7955439997587861598,1.0,,Criollo de Romex,1980.0,,1.5,0.0,0.0,0.0,"Fruit Tree,Shade trees"
799,7955439997586685348,3.0,,Robusta TR6,2013.0,,0.5,0.0,0.0,0.0,
800,7955439997586685348,2.0,,Robusta TR9,2015.0,,0.5,0.0,0.0,0.0,
801,7955439997586685348,1.0,,Robusta TR9,2018.0,,0.8,0.0,0.0,0.0,"Durian,Passion Fruit"
802,7955439997587861596,1.0,,FRT07,2015.0,,1.5,0.0,0.0,0.0,Shade trees
803,7955439997586684220,1.0,,Robusta TR9,2007.0,,1.31,0.0,0.0,0.0,
804,7955439997588499913,1.0,,Robusta,1982.0,,3.92,0.0,0.0,0.0,
805,1470157558628971343,1.0,,,2001.0,,1.3,0.0,0.0,0.0,"Arecanut,Nutmeg"
806,1470157558628970818,1.0,,,,,7.3,0.0,0.0,0.0,
807,7955662907698966683,,False,,,,,,,,
808,1470157558628971463,1.0,False,,1915.0,,8.9,0.0,0.0,0.0,"Arecanut,Black Pepper,Coconut Tree"
809,1470002575945831309,1.0,,Robusta,2010.0,,1.0,1.0,0.0,0.0,Cocoa (Theobroma cacao)
810,7955662907699201300,1.0,True,LEMPIRA,2010.0,,2.93,0.0,0.0,0.0,Coffee
811,7955439997586682278,1.0,,Robusta TR9,1998.0,,2.8,0.0,0.0,0.0,"Avocado,Durian,Macadamia,Other"
812,7955439997586682401,1.0,,ROBUSTA Thi?n Tr??ng,1994.0,,1.0,0.0,0.0,0.0,Durian
813,7955439997586682401,2.0,,ROBUSTA Thi?n Tr??ng,1994.0,,1.2,0.0,0.0,0.0,Durian
814,7955439997586682401,3.0,,ROBUSTA Thi?n Tr??ng,1994.0,,2.0,0.0,0.0,0.0,Durian
815,7955439997586683546,,,,,,,,,,
816,7955439997586686870,,,,,,,,,,
817,1470002575945815975,1.0,,Robusta,1988.0,,2.3,2.3,0.0,0.0,
818,7955439997586683574,2.0,,ROBUSTA Thi?n Tr??ng,2000.0,,0.9,0.0,0.0,0.0,Avocado
819,7955439997586683574,1.0,,ROBUSTA Thi?n Tr??ng,1998.0,,0.9,0.0,0.0,0.0,Avocado
820,1470002575945831297,1.0,,Robusta,2000.0,,2.0,2.0,0.0,0.0,
821,7955439997586686851,1.0,,ROBUSTA Local variety,1997.0,,0.8,0.0,0.0,0.0,
822,1470002575936435561,1.0,True,LEMPIRA,2007.0,,5.02,5.0,0.0,0.0,Shade trees
823,7955439997586683386,1.0,,ROBUSTA Thi?n Tr??ng,2010.0,,1.7,0.0,0.0,0.0,
824,7955439997586683386,2.0,,ROBUSTA Thi?n Tr??ng,2012.0,,0.6,0.0,0.0,0.0,"Avocado,Durian,Macadamia"
