entity_id,yield_gc_per_ha,production_(kg),low_coffee_prices,total_fertilizer_applied_kg_per_ha,organic_fertilizer_applied_kg_per_ha
1469278379855013487,3889.0,7.0,,16055.0,13611.0
1469278379854782303,1538.0,4.0,,1075.0,0.0
1469278379854782330,3667.0,11.0,,2900.0,
1469278379855013538,4800.0,4.8,,8650.0,7000.0
1469278379854677182,2818.18182,3.1,,2086.0,
1469278379854782765,2307.69231,7.0,,1792.0,896.0
1469278379854677051,500.0,2.0,,2175.0,500.0
1469278379855012279,3235.0,5.5,,11676.0,10294.0
1469278379854782856,4000.0,4.0,,2599.0,0.0
1469278379855009590,3600.0,0.6,,15900.0,14000.0
1469278379854677054,800.0,0.8,,3200.0,2000.0
1469278379855012573,2000.0,1.0,,16569.0,15713.0
1469278379854783229,1500.0,3.0,,3750.0,3000.0
1469278379854781962,3500.0,7.0,,2500.0,
1469278379854677037,3125.0,2.5,,6250.0,3000.0
1469278379855012570,5143.0,4.0,,17785.0,14285.0
1469883818362504744,4444.0,4.0,,12212.0,11324.0
1469278379855012184,4000.0,2.0,,9500.0,7000.0
1469883818362504715,2222.0,10.0,,2653.0,1144.0
1469278379854783135,2368.0,4.5,,2103.0,
1469278379855012158,3000.0,6.0,,9900.0,7500.0
1469278379854783115,3000.0,3.0,,2000.0,
1469278379854782426,2917.0,7.0,,7956.0,6666.0
1469278379855013057,3833.0,1.0,,3583.0,1666.0
1469278379854783104,3000.0,6.0,,3097.0,
1469278379854782419,3438.0,5.5,,2812.0,1875.0
1469278379855009927,4000.0,2.0,,5800.0,4000.0
1469278379854677226,2000.0,2.0,,2000.0,
1469278379855012818,5333.0,8.0,,11465.0,9333.0
1469278379854677162,2222.0,4.0,,1414.0,
1469278379854782733,357.0,1.0,,3216.0,2679.0
1469278379854677174,1181.81818,1.3,,1816.0,545.0
1469278379854783053,2424.24242,5.0,,7598.0,5600.0
1469278379854782727,2143.0,3.0,,8668.0,6667.0
1469278379855013676,2273.0,2.15,,3771.0,1818.0
1469278379855013697,3.4,1.7,True,5200.0,2800.0
1469278379854782243,1273.0,1.4,,1998.0,
1469278379855012382,1364.0,3.0,,2386.0,0.0
1469278379854783211,2500.0,5.0,True,1750.0,
1469278379855012339,3100.0,3.1,,14600.0,13000.0
1469278379854783216,2400.0,1.2,,1800.0,
1469278379855012856,5000.0,5.0,,15600.0,14000.0
1469278379855013932,3000.0,3.0,,8400.0,6000.0
1469278379855013152,4000.0,4.0,,13150.0,11300.0
1469278379855014007,4600.0,5.0,,2200.0,700.0
1469278379855013593,3111.11111,2.8,,3800.0,2500.0
1469278379855013826,2730.76923,2.85,,3308.0,1538.5
1469278379855012881,4500.0,6.7,,10750.0,9250.0
1469278379855013861,3500.0,3.5,,2700.0,1000.0
1469278379855013563,2800.0,1.8,,8650.0,6400.0
1469278379855012835,6000.0,6.0,,8600.0,7000.0
1469278379855009880,5000.0,10.0,,3500.0,2000.0
1469278379855009844,2564.10256,5.0,,6718.0,5129.0
1469278379855009842,2000.0,4.0,,900.0,
1469278379854641911,4000.0,3.5,,2936.0,1670.0
1469278379855005159,2833.0,1.7,,8666.0,6667.0
1469278379855008338,4000.0,4.0,,4300.0,2400.0
1469278379854638788,3667.0,5.5,,1433.0,
1469278379855008185,3810.0,5.6,,2381.0,952.0
1469278379855008185,3810.0,10.4,,2381.0,952.0
1469278379855009021,3000.0,3.0,,2600.0,1500.0
1469278379855004887,5000.0,5.0,,17100.0,15000.0
1469278379854638847,4083.0,4.5,,6400.0,1200.0
1469278379855004785,3500.0,3.5,,18100.0,16000.0
1469278379855004825,5500.0,5.5,,4500.0,2400.0
1469278379855014199,4000.0,4.0,,11350.0,10000.0
1469278379855014401,3846.15385,5.0,,2154.0,1000.0
1469278379854640837,4000.0,8.0,,10777.0,7777.0
1469278379855014074,3571.0,5.0,,2000.0,
1469278379854639556,5000.0,5.0,,26800.0,25000.0
