location_id,raw_location,latitude,longitude
1,POINT(9.6260734 98.7033279),9.6260734,98.7033279
2,POINT(10.7024139 98.8839803),10.7024139,98.8839803
4,POINT(11.64137856705028 108.10839507543240),11.64137856705028,108.10839507543240
5,POINT(13.8259491 108.0521971),13.8259491,108.0521971
6,POINT(13.90460613239799 108.18117499982225),13.90460613239799,108.18117499982225
7,POINT(9.6024695 98.6440933),9.6024695,98.6440933
8,POINT(-17.123455 -39.51809),-17.123455,-39.51809
9,POINT(-21.317766 -47.418451),-21.317766,-47.418451
10,POINT(-21.6908556 -45.5593117),-21.6908556,-45.5593117
11,POINT(18.5907387 -96.8468714),18.5907387,-96.8468714
12,POINT(11.6310568 108.0374383),11.6310568,108.0374383
13,POINT(15.0929104 -87.4393591),15.0929104,-87.4393591
14,POINT(88.431037 14.8882147),88.431037,14.8882147
15,POINT(12.9058022 108.1231439),12.9058022,108.1231439
16,POINT(12.897253 108.1214331),12.897253,108.1214331
17,POINT(11.6180184 108.0382706),11.6180184,108.0382706
18,POINT(11.62819699849337 108.10219150007886),11.62819699849337,108.10219150007886
19,POINT(11.9548574 107.5753852),11.9548574,107.5753852
20,POINT(10.2841676 98.9658455),10.2841676,98.9658455
21,POINT(-19.0052164 -40.5935185),-19.0052164,-40.5935185
22,POINT(-18.48162 -40.3495),-18.48162,-40.3495
23,POINT(-19.1202946 -40.1740728),-19.1202946,-40.1740728
24,POINT(10.7300829 98.8740854),10.7300829,98.8740854
25,POINT(12.53989120480841 107.99771611588820),12.53989120480841,107.99771611588820
26,POINT(12.55099873525328 108.00226187343523),12.55099873525328,108.00226187343523
27,POINT(12.5098022 107.9790502),12.5098022,107.9790502
28,POINT(11.6481108 107.9553766),11.6481108,107.9553766
29,POINT(13.9875783 107.6514524),13.9875783,107.6514524
30,POINT(12.833889 108.208062),12.833889,108.208062
31,POINT(18.4515387 -96.7875946),18.4515387,-96.7875946
32,POINT(13.8568757 108.0407833),13.8568757,108.0407833
33,POINT(13.9922856 107.930595),13.9922856,107.930595
34,POINT(12.90457790438483 108.16810028627404),12.90457790438483,108.16810028627404
35,POINT(15.0497169 -87.3124196),15.0497169,-87.3124196
36,POINT(-87.519626 14.675985),-87.519626,14.675985
37,POINT(14.589720 88.325260),14.589720,88.325260
38,POINT(13.774825 107.994168),13.774825,107.994168
39,POINT(11.6061241 108.0143796),11.6061241,108.0143796
40,POINT(11.6358125 107.9292819),11.6358125,107.9292819
41,POINT(12.3090763 107.6141881),12.3090763,107.6141881
42,POINT(-21.352021149646077 -46.45304136794567),-21.352021149646077,-46.45304136794567
43,POINT(-20.4601095 -47.5452223),-20.4601095,-47.5452223
44,POINT(-20.62563369983866 -47.11145463403977),-20.62563369983866,-47.11145463403977
45,POINT(11.6139917 108.0650984),11.6139917,108.0650984
46,POINT(13.7642117 108.1055873),13.7642117,108.1055873
47,POINT(13.972170 107.858932),13.972170,107.858932
48,POINT(12.57367257961312 108.04139798517156),12.57367257961312,108.04139798517156
49,POINT(18.5722105 -96.8689314),18.5722105,-96.8689314
50,POINT(18.6161374 -96.8624952),18.6161374,-96.8624952
51,POINT(11.6726666 107.9894666),11.6726666,107.9894666
52,POINT(12.5312055 107.9862542),12.5312055,107.9862542
53,POINT(11.6464183 107.9545494),11.6464183,107.9545494
54,POINT(11.6213826 108.0077331),11.6213826,108.0077331
55,POINT(11.6308598 108.100737),11.6308598,108.100737
56,POINT(12.82452865039261 108.15231830823063),12.82452865039261,108.15231830823063
57,POINT(12.529394 107.9822821),12.529394,107.9822821
58,POINT(12.51499 107.9779069),12.51499,107.9779069
59,POINT(11.6978731 107.8853185),11.6978731,107.8853185
60,POINT(11.6455181 108.0900082),11.6455181,108.0900082
61,POINT(14.0563494 108.1631236),14.0563494,108.1631236
62,POINT(12.8165047 107.9766971),12.8165047,107.9766971
63,POINT(12.8206005 108.1151596),12.8206005,108.1151596
64,POINT(12.92448644993168 108.08568050163619),12.92448644993168,108.08568050163619
65,POINT(11.62057789509335 107.89254359911000),11.62057789509335,107.89254359911000
66,POINT(12.952622 108.0315142),12.952622,108.0315142
67,POINT(-20.7172442 -47.0237599),-20.7172442,-47.0237599
68,POINT(11.458606 107.7774822),11.458606,107.7774822
69,POINT(12.8688092 108.0902434),12.8688092,108.0902434
70,POINT(13.0663095 108.2036788),13.0663095,108.2036788
71,POINT(12.8120548 108.1466049),12.8120548,108.1466049
72,POINT(12.79297606555074 108.14492999586103),12.79297606555074,108.14492999586103
73,POINT(11.8328441 108.283554),11.8328441,108.283554
74,POINT(11.60372021143474 107.79732509526218),11.60372021143474,107.79732509526218
75,POINT(11.4721782 107.8630488),11.4721782,107.8630488
76,POINT(12.8288854 108.0876598),12.8288854,108.0876598
77,POINT(12.85684565413668 107.99940651641231),12.85684565413668,107.99940651641231
78,POINT(12.9007661 108.185270),12.9007661,108.185270
79,POINT(20.717810 102.272727),20.717810,102.272727
80,POINT(9.6906762 98.6080499),9.6906762,98.6080499
81,POINT(-20.92868333684367 -47.06496910196456),-20.92868333684367,-47.06496910196456
82,POINT(10.7190413 99.0228736),10.7190413,99.0228736
83,POINT(11.65016174322576 108.01508078905084),11.65016174322576,108.01508078905084
84,POINT(13.06932564742922 108.26019775500316),13.06932564742922,108.26019775500316
85,POINT(11.5208789 107.902560),11.5208789,107.902560
86,POINT(11.6300081 107.9377484),11.6300081,107.9377484
87,POINT(10.7712036 106.6255007),10.7712036,106.6255007
88,POINT(15.2231595 -87.5080988),15.2231595,-87.5080988
89,POINT(12.52364216982078 107.95510673730740),12.52364216982078,107.95510673730740
90,POINT(14.8922005 -88.5214406),14.8922005,-88.5214406
91,POINT(12.5236182 107.9944725),12.5236182,107.9944725
92,POINT(11.64218853392384 108.09136100976094),11.64218853392384,108.09136100976094
93,POINT(12.9518062 108.0244789),12.9518062,108.0244789
94,POINT(12.7963179 108.1517469),12.7963179,108.1517469
95,POINT(12.5996168 108.0333823),12.5996168,108.0333823
96,POINT(-19.0509205 -40.6869125),-19.0509205,-40.6869125
97,POINT(11.6086701 108.3654191),11.6086701,108.3654191
98,POINT(13.754538 108.122378),13.754538,108.122378
99,POINT(13.71196837874136 108.06014739992446),13.71196837874136,108.06014739992446
100,POINT(-19.0218799 -40.6967603),-19.0218799,-40.6967603
101,POINT(18.5678867 -96.8215961),18.5678867,-96.8215961
102,POINT(9.6389414 98.7188308),9.6389414,98.7188308
103,POINT(12.11534114555653 107.61014646860548),12.11534114555653,107.61014646860548
104,POINT(13.9956166 107.8311309),13.9956166,107.8311309
105,POINT(11.65909957 108.0019989),11.65909957,108.0019989
106,POINT(13.8463112 108.0025353),13.8463112,108.0025353
107,POINT(11.7895846 108.1550309),11.7895846,108.1550309
108,POINT(12.9346375 108.0010449),12.9346375,108.0010449
109,POINT(-21.2056687 -45.2535801),-21.2056687,-45.2535801
110,POINT(-21.336903 -46.467728),-21.336903,-46.467728
111,POINT(-21.543885 -45.286109),-21.543885,-45.286109
112,POINT(11.632421 108.0368528),11.632421,108.0368528
113,POINT(11.4517415 107.7906582),11.4517415,107.7906582
114,POINT(12.8666285 108.0403715),12.8666285,108.0403715
115,POINT(12.8956999 108.1332335),12.8956999,108.1332335
116,POINT(11.6123887 107.8738928),11.6123887,107.8738928
117,POINT(11.4568432 107.7640748),11.4568432,107.7640748
118,POINT(14.0660463 108.1513817),14.0660463,108.1513817
119,POINT(11.5577073 107.877212),11.5577073,107.877212
120,POINT(12.7947771 108.1366299),12.7947771,108.1366299
121,POINT(12.54131344613856 107.99635020094736),12.54131344613856,107.99635020094736
122,POINT(12.868398 108.135157),12.868398,108.135157
123,POINT(11.68060014 107.9580006),11.68060014,107.9580006
124,POINT(13.0631028 108.2430324),13.0631028,108.2430324
125,POINT(13.06480345921080 108.11046395372941),13.06480345921080,108.11046395372941
126,POINT(-88.538271 14.726093),-88.538271,14.726093
127,POINT(0.8853558554 14.68723241),0.8853558554,14.68723241
128,POINT(-6.247267 106.825588),-6.247267,106.825588
129,POINT(11.8087084 108.1303268),11.8087084,108.1303268
130,POINT(11.879465 107.5908467),11.879465,107.5908467
131,POINT(11.4983292 107.8539286),11.4983292,107.8539286
132,POINT(12.8355951 108.2399446),12.8355951,108.2399446
133,POINT(13.7350608 108.1167156),13.7350608,108.1167156
134,POINT(-21.437535679057746 -46.61496059690998),-21.437535679057746,-46.61496059690998
135,POINT(12.8009395 108.2173545),12.8009395,108.2173545
136,POINT(10.7760766 98.9534309),10.7760766,98.9534309
137,POINT(9.9834901 105.760182),9.9834901,105.760182
138,POINT(13.8409186 108.0396169),13.8409186,108.0396169
139,POINT(13.8003567 108.0194771),13.8003567,108.0194771
140,POINT(12.8803858 108.3015266),12.8803858,108.3015266
141,POINT(12.84975978337894 108.24656605655991),12.84975978337894,108.24656605655991
142,POINT(11.59470157698877 107.98925081278010),11.59470157698877,107.98925081278010
143,POINT(18.6456988 -96.7401375),18.6456988,-96.7401375
144,POINT(13.899900 108.099550),13.899900,108.099550
145,POINT(-21.0135131 -47.3838804),-21.0135131,-47.3838804
146,POINT(-21.37965242896165 -46.542054364999046),-21.37965242896165,-46.542054364999046
147,POINT(11.6105634 108.0141985),11.6105634,108.0141985
148,POINT(11.6110744 108.024652),11.6110744,108.024652
149,POINT(9.5478584 98.7528495),9.5478584,98.7528495
150,POINT(-18.756132 -40.580706),-18.756132,-40.580706
151,POINT(11.5239192 108.0575704),11.5239192,108.0575704
152,POINT(13.842795 108.0734003),13.842795,108.0734003
153,POINT(11.64615243820548 108.08914436959212),11.64615243820548,108.08914436959212
154,POINT(11.56671041511971 108.04062861406621),11.56671041511971,108.04062861406621
155,POINT(11.5246921 108.0782935),11.5246921,108.0782935
156,POINT(9.6287943 98.7085847),9.6287943,98.7085847
157,POINT(-22.059538 -45.467267),-22.059538,-45.467267
158,POINT(-89.017475 14.754278),-89.017475,14.754278
159,POINT(10.740946 99.023132),10.740946,99.023132
160,POINT(-18.9937218 -39.9366163),-18.9937218,-39.9366163
161,POINT(-18.9486174 -40.7005086),-18.9486174,-40.7005086
162,POINT(11.6846047 107.8733136),11.6846047,107.8733136
163,POINT(11.8004605 108.1813277),11.8004605,108.1813277
164,POINT(-18.24026 -40.15587),-18.24026,-40.15587
165,POINT(-19.437644 -40.2751239),-19.437644,-40.2751239
166,POINT(-20.387181 -47.449147),-20.387181,-47.449147
167,POINT(-20.413777 -47.5551633),-20.413777,-47.5551633
168,POINT(15.154288 -87.5187442),15.154288,-87.5187442
169,POINT(10.1825711 98.9154681),10.1825711,98.9154681
170,POINT(10.2844298 98.9733689),10.2844298,98.9733689
171,POINT(-18.769377 -40.576782),-18.769377,-40.576782
172,POINT(38.9071924 -77.0368725),38.9071924,-77.0368725
173,POINT(12.547112 107.9805598),12.547112,107.9805598
174,POINT(13.688675 108.042778),13.688675,108.042778
175,POINT(11.6363408 107.9466378),11.6363408,107.9466378
176,POINT(11.5254151 107.8790681),11.5254151,107.8790681
177,POINT(13.7653869 107.9259331),13.7653869,107.9259331
178,POINT(13.8257332 107.9715845),13.8257332,107.9715845
179,POINT(13.859400 108.045550),13.859400,108.045550
180,POINT(12.8319281 107.9835643),12.8319281,107.9835643
181,POINT(13.06468710770184 109.33188945996513),13.06468710770184,109.33188945996513
182,POINT(11.44601654728078 107.87398187453660),11.44601654728078,107.87398187453660
